# spectral number density of the CMB photon field
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
1.000000000000000000e+05,1.266171084907810437e+06
1.023292992280753533e+05,1.295663971643091179e+06
1.047128548050898389e+05,1.325843834709153278e+06
1.071519305237604858e+05,1.356726675781350583e+06
1.096478196143182868e+05,1.388328869259150699e+06
1.122018454301960592e+05,1.420667170947874896e+06
1.148153621496879350e+05,1.453758726942636305e+06
1.174897554939525435e+05,1.487621082719214028e+06
1.202264434617408115e+05,1.522272192436676705e+06
1.230268770812376024e+05,1.557730428456682013e+06
1.258925411794161046e+05,1.594014591084494721e+06
1.288249551693127141e+05,1.631143918536908692e+06
1.318256738556399359e+05,1.669138097142329672e+06
1.348962882591644884e+05,1.708017271778454538e+06
1.380384264602875337e+05,1.747802056553048082e+06
1.412537544622743735e+05,1.788513545733514009e+06
1.445439770745916176e+05,1.830173324931027368e+06
1.479108388168195088e+05,1.872803482545181178e+06
1.513561248436194728e+05,1.916426621475185268e+06
1.548816618912466802e+05,1.961065871103858342e+06
1.584893192461097788e+05,2.006744899560744874e+06
1.621810097358913335e+05,2.053487926270860480e+06
1.659586907437542686e+05,2.101319734795730561e+06
1.698243652461724996e+05,2.150265685973513871e+06
1.737800828749354987e+05,2.200351731365192216e+06
1.778279410038900969e+05,2.251604427013938315e+06
1.819700858609960123e+05,2.304050947524977848e+06
1.862087136662842822e+05,2.357719100473377388e+06
1.905460717963221250e+05,2.412637341147441417e+06
1.949844599758017575e+05,2.468834787635483313e+06
1.995262314968850114e+05,2.526341236264019273e+06
2.041737944669498247e+05,2.585187177395524457e+06
2.089296130854006624e+05,2.645403811594144441e+06
2.137962089502197341e+05,2.707023066167958546e+06
2.187761623949515924e+05,2.770077612096508965e+06
2.238721138568301103e+05,2.834600881352624390e+06
2.290867652767732507e+05,2.900627084627667908e+06
2.344228815319879504e+05,2.968191229469662998e+06
2.398832919019445544e+05,3.037329138843866531e+06
2.454708915684983367e+05,3.108077470125647727e+06
2.511886431509530812e+05,3.180473734535741620e+06
2.570395782768812205e+05,3.254556317028171383e+06
2.630267991895327577e+05,3.330364496641393751e+06
2.691534803926859167e+05,3.407938467323443852e+06
2.754228703338106861e+05,3.487319359242127743e+06
2.818382931264391518e+05,3.568549260591560975e+06
2.884031503126540920e+05,3.651671239906590432e+06
2.951209226666317554e+05,3.736729368896970525e+06
3.019951720401945058e+05,3.823768745813343674e+06
3.090295432513515698e+05,3.912835519357464276e+06
3.162277660168301663e+05,4.003976913149310742e+06
3.235936569296201342e+05,4.097241250764051452e+06
3.311311214825826464e+05,4.192677981352145318e+06
3.388441561391937430e+05,4.290337705856169574e+06
3.467368504525224562e+05,4.390272203838257119e+06
3.548133892335658893e+05,4.492534460932355374e+06
3.630780547700913157e+05,4.597178696935873479e+06
3.715352290971621405e+05,4.704260394555611536e+06
3.801893963205504115e+05,4.813836328823189251e+06
3.890451449942693580e+05,4.925964597195579670e+06
3.981071705534855137e+05,5.040704650356715545e+06
4.073802778041005367e+05,5.158117323736451566e+06
4.168693834703227039e+05,5.278264869763634168e+06
4.265795188015794847e+05,5.401210990870362148e+06
